"2017-04-03","三民高中",9702,9567
"2017-04-03","三和國中",8938,8761
"2017-04-03","三重",5728,5698
"2017-04-03","三重國小",9572,9621
"2017-04-03","土城",6409,6436
"2017-04-03","士林",28506,30107
"2017-04-03","大安",12166,13020
"2017-04-03","大安森林公園",10746,10840
"2017-04-03","大坪林",12973,12803
"2017-04-03","大直",5233,5546
"2017-04-03","大湖公園",4659,4844
"2017-04-03","大橋頭站",9835,7852
"2017-04-03","小南門",3498,3643
"2017-04-03","小碧潭",2758,2964
"2017-04-03","中山",31663,32994
"2017-04-03","中山國小",10351,10802
"2017-04-03","中山國中",8843,8620
"2017-04-03","中正紀念堂",24231,26035
"2017-04-03","丹鳳",7227,6604
"2017-04-03","內湖",6681,6769
"2017-04-03","公館",25193,25527
"2017-04-03","六張犁",7581,7297
"2017-04-03","文德",3449,3438
"2017-04-03","木柵",3851,3516
"2017-04-03","北投",15931,16446
"2017-04-03","北門",8762,8473
"2017-04-03","古亭",18286,18282
"2017-04-03","台大醫院",8918,8905
"2017-04-03","台北101/世貿",31957,33783
"2017-04-03","台北小巨蛋",9722,10415
"2017-04-03","台北車站",166434,160003
"2017-04-03","台北橋",8486,8700
"2017-04-03","台電大樓",13750,13625
"2017-04-03","市政府",50093,47794
"2017-04-03","民權西路",16715,15234
"2017-04-03","永安市場",19587,19941
"2017-04-03","永春",11783,11546
"2017-04-03","永寧",10053,10448
"2017-04-03","石牌",22314,23655
"2017-04-03","先嗇宮",2001,2017
"2017-04-03","江子翠",17993,18444
"2017-04-03","竹圍",8748,8823
"2017-04-03","行天宮",16205,16688
"2017-04-03","西門",75287,76609
"2017-04-03","西湖",4412,4817
"2017-04-03","辛亥",2185,2136
"2017-04-03","亞東醫院",15030,13552
"2017-04-03","奇岩",6668,5678
"2017-04-03","府中",24727,22685
"2017-04-03","忠孝復興",43966,45581
"2017-04-03","忠孝敦化",28955,30823
"2017-04-03","忠孝新生",25109,24925
"2017-04-03","忠義",2400,2565
"2017-04-03","昆陽",7547,7938
"2017-04-03","明德",8803,8817
"2017-04-03","東門",19699,20293
"2017-04-03","東湖",5885,6212
"2017-04-03","松山",19159,17921
"2017-04-03","松山機場",5069,4668
"2017-04-03","松江南京",16311,17559
"2017-04-03","芝山",17732,18319
"2017-04-03","信義安和",10978,11553
"2017-04-03","南京三民",12911,13585
"2017-04-03","南京復興",17554,18222
"2017-04-03","南港",13501,12353
"2017-04-03","南港展覽館",15903,14164
"2017-04-03","南港軟體園區",2113,2114
"2017-04-03","南勢角",17282,17084
"2017-04-03","後山埤",11668,12099
"2017-04-03","科技大樓",7989,7807
"2017-04-03","紅樹林",7693,8049
"2017-04-03","徐匯中學",9257,9372
"2017-04-03","海山",15915,16129
"2017-04-03","迴龍",7055,7060
"2017-04-03","動物園",23196,24706
"2017-04-03","唭哩岸",5653,5396
"2017-04-03","國父紀念館",14452,16349
"2017-04-03","淡水",62210,59286
"2017-04-03","頂埔",5824,5675
"2017-04-03","頂溪",28265,29038
"2017-04-03","善導寺",10844,11156
"2017-04-03","復興崗",2907,2920
"2017-04-03","景安",18617,18169
"2017-04-03","景美",11741,12027
"2017-04-03","港墘",5433,5589
"2017-04-03","菜寮",6735,6453
"2017-04-03","象山",10757,10838
"2017-04-03","圓山",31514,31641
"2017-04-03","新北投",12648,12706
"2017-04-03","新店",15673,14931
"2017-04-03","新店區公所",8233,8853
"2017-04-03","新埔",27627,26362
"2017-04-03","新莊",7676,8149
"2017-04-03","萬芳社區",2175,1989
"2017-04-03","萬芳醫院",8952,9355
"2017-04-03","萬隆",7066,7051
"2017-04-03","葫洲",5075,4811
"2017-04-03","輔大",5590,6135
"2017-04-03","劍南路",9545,9614
"2017-04-03","劍潭",43021,41641
"2017-04-03","頭前庄",3521,3239
"2017-04-03","龍山寺",27940,27063
"2017-04-03","雙連",18116,19386
"2017-04-03","關渡",8915,9490
"2017-04-03","蘆洲",10004,9304
"2017-04-03","麟光",5880,5748
"2017-04-04","BL板橋",34667,30685
"2017-04-04","七張",10550,11304
"2017-04-04","三民高中",8037,8239
"2017-04-04","三和國中",7819,7741
"2017-04-04","三重",4904,4884
"2017-04-04","三重國小",8496,8709
"2017-04-04","土城",5330,5293
"2017-04-04","士林",22505,24944
"2017-04-04","大安",10960,11893
"2017-04-04","大安森林公園",7939,8285
"2017-04-04","大坪林",11427,12211
"2017-04-04","大直",4871,5930
"2017-04-04","大湖公園",3572,3863
"2017-04-04","大橋頭站",9888,6929
"2017-04-04","小南門",3188,3485
"2017-04-04","小碧潭",2578,2613
"2017-04-04","中山",26814,27858
"2017-04-04","中山國小",9144,9820
"2017-04-04","中山國中",7672,7725
"2017-04-04","中正紀念堂",20048,21697
"2017-04-04","丹鳳",6037,5935
"2017-04-04","內湖",6216,6510
"2017-04-04","公館",21694,23944
"2017-04-04","六張犁",6809,7106
"2017-04-04","文德",3373,3824
"2017-04-04","木柵",2841,2934
"2017-04-04","北投",13028,14660
"2017-04-04","北門",7797,6989
"2017-04-04","古亭",16185,17334
"2017-04-04","台大醫院",8141,8192
"2017-04-04","台北101/世貿",20909,22941
"2017-04-04","台北小巨蛋",8523,9518
"2017-04-04","台北車站",168478,128552
"2017-04-04","台北橋",7349,7669
"2017-04-04","台電大樓",12460,13589
"2017-04-04","市政府",43007,40655
"2017-04-04","民權西路",14699,13713
"2017-04-04","永安市場",17554,19477
"2017-04-04","永春",10848,11733
"2017-04-04","永寧",8472,8397
"2017-04-04","石牌",18942,21271
"2017-04-04","先嗇宮",1780,1773
"2017-04-04","江子翠",15927,17110
"2017-04-04","竹圍",6772,7163
"2017-04-04","行天宮",13777,14863
"2017-04-04","西門",60551,60960
"2017-04-04","西湖",4049,5181
"2017-04-04","辛亥",1862,2031
"2017-04-04","亞東醫院",10754,10454
"2017-04-04","奇岩",5508,4789
"2017-04-04","府中",19904,18446
"2017-04-04","忠孝復興",36724,37810
"2017-04-04","忠孝敦化",24380,26072
"2017-04-04","忠孝新生",21011,21655
"2017-04-04","忠義",1545,1609
"2017-04-04","昆陽",7072,8051
"2017-04-04","明德",6943,7167
"2017-04-04","東門",16488,17629
"2017-04-04","東湖",5145,5557
"2017-04-04","松山",15262,13771
"2017-04-04","松山機場",5269,4273
"2017-04-04","松江南京",14430,15574
"2017-04-04","芝山",15607,16446
"2017-04-04","信義安和",9492,10670
"2017-04-04","南京三民",11527,12994
"2017-04-04","南京復興",14846,15948
"2017-04-04","南港",13229,10357
"2017-04-04","南港展覽館",14651,13130
"2017-04-04","南港軟體園區",1854,1906
"2017-04-04","南勢角",15783,16513
"2017-04-04","後山埤",10902,11783
"2017-04-04","科技大樓",7530,7613
"2017-04-04","紅樹林",5829,6098
"2017-04-04","徐匯中學",7829,8153
"2017-04-04","海山",13681,14458
"2017-04-04","迴龍",5991,5896
"2017-04-04","動物園",16261,18166
